"DATE 
","SYMBOL 
","SECURITY NAME 
","CLIENT NAME 
","BUY/SELL 
","QUANTITY TRADED 
","TRADE PRICE/ WEIGHTED. AVG. PRICE 
","REMARKS 
"
"10-Mar-2026","AEGISVOPAK","Aegis Vopak Terminals Ltd","BNP PARIBAS FINANCIAL MARKETS","BUY","15,91,705","192.38",
"10-Mar-2026","NAZARA","Nazara Technologies Ltd","MORGAN STANLEY ASIA SINGAPORE PTE","BUY","28,85,000","239.80",
"10-Mar-2026","AEGISVOPAK","Aegis Vopak Terminals Ltd","MORGAN STANLEY ASIA SINGAPORE PTE","SELL","15,91,705","192.38",
"10-Mar-2026","NAZARA","Nazara Technologies Ltd","THINK INDIA OPPORTUNITIES MASTER FUND LP","SELL","28,85,000","239.80",
