"DATE 
","SYMBOL 
","SECURITY NAME 
","CLIENT NAME 
","BUY/SELL 
","QUANTITY TRADED 
","TRADE PRICE/ WEIGHTED. AVG. PRICE 
","REMARKS 
"
"12-Mar-2026","INDIGRID","India Grid Trust","NEO REAL ASSET YIELD FUND","BUY","15,43,840","162.68",
"12-Mar-2026","KAYNES","Kaynes Technology Ind Ltd","BOFA SECURITIES EUROPE SA","BUY","1,16,082","3,614.40",
"12-Mar-2026","INDIGRID","India Grid Trust","SANKHYA FINANCIAL SERVICES PRIVATE LIMITED","SELL","15,43,840","162.68",
"12-Mar-2026","KAYNES","Kaynes Technology Ind Ltd","KADENSA MASTER FUND","SELL","46,934","3,614.40",
"12-Mar-2026","KAYNES","Kaynes Technology Ind Ltd","BLUEPEARL MAP I LP","SELL","69,148","3,614.40",
