"DATE 
","SYMBOL 
","SECURITY NAME 
","CLIENT NAME 
","BUY/SELL 
","QUANTITY TRADED 
","TRADE PRICE/ WEIGHTED. AVG. PRICE 
","REMARKS 
"
"02-Mar-2026","SRTL","Shree Ram Twistex Limited","OM TRADING","BUY","2,00,000","68.00","-"
"02-Mar-2026","SRTL","Shree Ram Twistex Limited","NEO APEX SHARE BROKING SERVICES LLP","BUY","2,93,605","67.80","-"
"02-Mar-2026","TEJASNET","Tejas Networks Limited","HRTI PRIVATE LIMITED","BUY","61,01,488","479.70","-"
"02-Mar-2026","TEJASNET","Tejas Networks Limited","MATHISYS ADVISORS LLP","BUY","13,11,704","479.72","-"
"02-Mar-2026","TEJASNET","Tejas Networks Limited","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","BUY","35,69,546","482.82","-"
"02-Mar-2026","TEJASNET","Tejas Networks Limited","IRAGE BROKING SERVICES LLP","BUY","30,06,222","476.60","-"
"02-Mar-2026","TEJASNET","Tejas Networks Limited","ARHAM WEALTH MANAGEMENT PRIVATE LIMITED","BUY","10,14,259","485.82","-"
"02-Mar-2026","TEJASNET","Tejas Networks Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","53,70,381","477.70","-"
"02-Mar-2026","TEJASNET","Tejas Networks Limited","MUSIGMA SECURITIES","BUY","23,65,384","481.05","-"
"02-Mar-2026","TEJASNET","Tejas Networks Limited","CLT RESEARCH TECH PRIVATE LTD","BUY","9,04,196","486.56","-"
"02-Mar-2026","TEJASNET","Tejas Networks Limited","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","92,38,942","476.88","-"
"02-Mar-2026","TEJASNET","Tejas Networks Limited","MICROCURVES TRADING PRIVATE LIMITED","BUY","21,19,356","481.52","-"
"02-Mar-2026","TEJASNET","Tejas Networks Limited","SHARE INDIA SECURITIES LIMITED","BUY","24,27,472","479.46","-"
"02-Mar-2026","TEJASNET","Tejas Networks Limited","QICAP MARKETS LLP","BUY","10,76,747","489.26","-"
"02-Mar-2026","TEJASNET","Tejas Networks Limited","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","BUY","14,14,848","484.14","-"
"02-Mar-2026","TEJASNET","Tejas Networks Limited","PATRONUS TRADETECH LLP","BUY","17,14,501","480.66","-"
"02-Mar-2026","TEJASNET","Tejas Networks Limited","QE SECURITIES LLP","BUY","32,39,630","480.44","-"
"02-Mar-2026","AGIIL","Agi Infra Limited","ARIHANT CAPITAL MARKETS LIMITED","SELL","7,34,590","303.83","-"
"02-Mar-2026","AKG","AKG Exim Limited","MANSI SHARE AND STOCK BROKING PRIVATE LIMITED","SELL","4,14,646","11.32","-"
"02-Mar-2026","CLEANMAX","Clean Max Enviro En Sol L","CITIGROUP GLOBAL MARKETS MAURITIUS PVT LTD","SELL","8,28,860","846.72","-"
"02-Mar-2026","DEEDEV","DEE Development Eng Ltd","HRTI PRIVATE LIMITED","SELL","4,15,401","280.66","-"
"02-Mar-2026","DEEDEV","DEE Development Eng Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","3,98,820","280.61","-"
"02-Mar-2026","DEVIT","Dev Info Technology Ltd","PRANAV NIRANJAN PANDYA","SELL","15,00,000","23.40","-"
"02-Mar-2026","DEVIT","Dev Info Technology Ltd","KRUTI PRANAV PANDYA","SELL","6,24,000","23.50","-"
"02-Mar-2026","DEVIT","Dev Info Technology Ltd","JAIMIN JAGDISHBHAI SHAH","SELL","29,64,000","23.25","-"
"02-Mar-2026","DIGIKORE","Digikore Studios Limited","SHREE MPJ CEMENT WORKS LLP","SELL","74,000","82.06","-"
"02-Mar-2026","HECPROJECT","HEC Infra Projects Ltd","WEALTH FIRST PORTFOLIO MANAGERS LIMITED","SELL","3,31,342","134.90","-"
"02-Mar-2026","IDEAFORGE","Ideaforge Techno Ltd","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","SELL","3,44,259","459.21","-"
"02-Mar-2026","IDEAFORGE","Ideaforge Techno Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","8,99,649","456.21","-"
"02-Mar-2026","IDEAFORGE","Ideaforge Techno Ltd","IRAGE BROKING SERVICES LLP","SELL","2,46,959","455.42","-"
"02-Mar-2026","IDEAFORGE","Ideaforge Techno Ltd","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","SELL","2,87,453","455.69","-"
"02-Mar-2026","IDEAFORGE","Ideaforge Techno Ltd","QE SECURITIES LLP","SELL","3,46,395","458.79","-"
"02-Mar-2026","IDEAFORGE","Ideaforge Techno Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","3,82,309","457.28","-"
"02-Mar-2026","INFOBEAN","InfoBeans Techno. Ltd.","RATIONAL EQUITY FLAGSHIP FUND I","SELL","1,49,224","183.43","-"
"02-Mar-2026","INFOBEAN","InfoBeans Techno. Ltd.","HRTI PRIVATE LIMITED","SELL","1,21,340","186.69","-"
"02-Mar-2026","JINDRILL","Jindal Drilling And Indus","PACE STOCK BROKING SERVICES PVT LTD","SELL","1,51,718","511.45","-"
"02-Mar-2026","JINDRILL","Jindal Drilling And Indus","MUSIGMA SECURITIES","SELL","1,57,870","515.98","-"
"02-Mar-2026","JINDRILL","Jindal Drilling And Indus","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","SELL","2,70,560","506.94","-"
"02-Mar-2026","JINDRILL","Jindal Drilling And Indus","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","6,15,371","509.81","-"
"02-Mar-2026","JINDRILL","Jindal Drilling And Indus","QICAP MARKETS LLP","SELL","2,04,144","513.85","-"
"02-Mar-2026","JINDRILL","Jindal Drilling And Indus","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","2,01,253","510.65","-"
"02-Mar-2026","JINDRILL","Jindal Drilling And Indus","QE SECURITIES LLP","SELL","1,46,460","503.97","-"
"02-Mar-2026","JINDRILL","Jindal Drilling And Indus","IRAGE BROKING SERVICES LLP","SELL","1,59,816","512.65","-"
"02-Mar-2026","JKIPL","Jinkushal Industries Ltd","ABUNDANTIA CAPITAL VCC - ABUNDANTIA CAPITAL III","SELL","2,00,000","58.91","-"
"02-Mar-2026","KHFM","KHFM Hos Fac Mana Ser Ltd","LIMITED BADJATE STOCK BROKING PRIVATE","SELL","2,10,800","61.50","-"
"02-Mar-2026","KRIDHANINF","Kridhan Infra Limited","ANIL KUMAR SINGH","SELL","10,40,695","2.80","-"
"02-Mar-2026","KSR","KSR Footwear Limited","ALPA WEALTH CREATOR","SELL","3,77,218","30.17","-"
"02-Mar-2026","OLIL","Oneclick Logistics Ind L","NILESHBHAI KIRITBHAI VEKARIYA","SELL","28,000","280.81","-"
"02-Mar-2026","PARAS","Paras Def and Spce Tech L","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","6,72,189","698.21","-"
"02-Mar-2026","PARAS","Paras Def and Spce Tech L","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","9,14,756","696.26","-"
"02-Mar-2026","PARAS","Paras Def and Spce Tech L","HRTI PRIVATE LIMITED","SELL","4,49,603","696.27","-"
"02-Mar-2026","PRLIND","Premier Roadlines Limited","KHUSHBOO NAHAR","SELL","1,60,000","58.20","-"
"02-Mar-2026","RGL","Renaissance Global Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","8,13,177","111.63","-"
"02-Mar-2026","RGL","Renaissance Global Ltd","ALGOQUANT FINTECH LIMITED","SELL","8,92,691","113.01","-"
"02-Mar-2026","RGL","Renaissance Global Ltd","HRTI PRIVATE LIMITED","SELL","17,77,934","113.14","-"
"02-Mar-2026","RGL","Renaissance Global Ltd","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","SELL","6,93,409","112.81","-"
"02-Mar-2026","RGL","Renaissance Global Ltd","QE SECURITIES LLP","SELL","11,23,160","113.04","-"
"02-Mar-2026","RGL","Renaissance Global Ltd","POCKETFUL RESEARCH CAPITAL PRIVATE LIMITED","SELL","6,31,972","112.64","-"
"02-Mar-2026","RGL","Renaissance Global Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","18,94,744","113.00","-"
"02-Mar-2026","SICAL-RE","Sical Logistics Ltd","GIRISH GULATI HUF","SELL","1,32,300","0.87","-"
"02-Mar-2026","SINTERCOM","Sintercom India Limited","RAJNISH RAVISH PURI","SELL","2,10,000","88.25","-"
"02-Mar-2026","SOMICONVEY","Somi Conveyor Belt. Ltd.","AJAYKUMAR NATVARLAL SHETH","SELL","60,000","102.65","-"
"02-Mar-2026","SRTL","Shree Ram Twistex Limited","VIKASA INDIA EIF I FUND - SHARE CLASS P","SELL","4,07,912","68.00","-"
"02-Mar-2026","SRTL","Shree Ram Twistex Limited","RAJASTHAN GLOBAL SECURITIES PVT LTD","SELL","5,29,438","68.00","-"
