"DATE 
","SYMBOL 
","SECURITY NAME 
","CLIENT NAME 
","BUY/SELL 
","QUANTITY TRADED 
","TRADE PRICE/ WEIGHTED. AVG. PRICE 
","REMARKS 
"
"20-Mar-2026","ACETEC","Acetech E-Commerce Ltd","CHUNGATH KARUNAKARAN PADMA KUMAR","BUY","15,99,600","139.00","-"
"20-Mar-2026","AGIIL","Agi Infra Limited","ARIHANT CAPITAL MARKETS LIMITED","BUY","19,70,918","311.50","-"
"20-Mar-2026","ARUNAYA","Arunaya Organics Limited","R K STOCKHOLDING (P) LTD.","BUY","2,000","17.05","-"
"20-Mar-2026","ASHWINI","Ashwini Container Mover L","RATIRAJ TIBREWAL","BUY","88,000","149.58","-"
"20-Mar-2026","ATALREAL","Atal Realtech Limited","VISHAL MAHESH WAGHELA","BUY","8,60,000","23.38","-"
"20-Mar-2026","ATALREAL","Atal Realtech Limited","ALTIZEN VENTURES LLP","BUY","10,54,354","23.36","-"
"20-Mar-2026","BIRDYS","Grill Splendour Ser Ltd","JINESH ASHWINKUMAR MATALIA","BUY","33,600","109.10","-"
"20-Mar-2026","DEEPINDS","Deep Industries Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","5,18,383","417.51","-"
"20-Mar-2026","DEEPINDS","Deep Industries Limited","GRT STRATEGIC VENTURES LLP","BUY","4,36,329","420.01","-"
"20-Mar-2026","EXIMROUTES","Exim Routes Limited","MONEYPLANT GOLD & JEWELLERY TRADING L.L.C","BUY","1,79,200","127.10","-"
"20-Mar-2026","GUJALKALI","Gujarat Alkalies & Chem","MUSIGMA SECURITIES","BUY","4,27,201","499.83","-"
"20-Mar-2026","GUJALKALI","Gujarat Alkalies & Chem","GRT STRATEGIC VENTURES LLP","BUY","6,32,035","501.36","-"
"20-Mar-2026","GUJALKALI","Gujarat Alkalies & Chem","IRAGE BROKING SERVICES LLP","BUY","8,56,701","498.89","-"
"20-Mar-2026","GUJALKALI","Gujarat Alkalies & Chem","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","BUY","3,79,931","494.60","-"
"20-Mar-2026","GUJALKALI","Gujarat Alkalies & Chem","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","6,27,422","496.96","-"
"20-Mar-2026","GUJALKALI","Gujarat Alkalies & Chem","GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LIMITED","BUY","4,60,340","493.58","-"
"20-Mar-2026","GUJALKALI","Gujarat Alkalies & Chem","MICROCURVES TRADING PRIVATE LIMITED","BUY","8,96,421","495.32","-"
"20-Mar-2026","GUJALKALI","Gujarat Alkalies & Chem","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","8,69,109","499.47","-"
"20-Mar-2026","GUJALKALI","Gujarat Alkalies & Chem","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","BUY","4,62,333","499.63","-"
"20-Mar-2026","GUJALKALI","Gujarat Alkalies & Chem","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","BUY","4,27,376","496.72","-"
"20-Mar-2026","GUJAPOLLO","Gujarat Apollo Equip Ltd.","PANKAJ PRASOON AND (HUF)","BUY","60,005","400.50","-"
"20-Mar-2026","HAPPSTMNDS","Happiest Minds Techno Ltd","MICROCURVES TRADING PRIVATE LIMITED","BUY","14,52,234","401.21","-"
"20-Mar-2026","HAPPSTMNDS","Happiest Minds Techno Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","7,81,957","402.83","-"
"20-Mar-2026","HAPPSTMNDS","Happiest Minds Techno Ltd","HRTI PRIVATE LIMITED","BUY","12,34,514","400.52","-"
"20-Mar-2026","HAPPSTMNDS","Happiest Minds Techno Ltd","QE SECURITIES LLP","BUY","9,08,765","398.59","-"
"20-Mar-2026","HAPPSTMNDS","Happiest Minds Techno Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","9,44,910","402.51","-"
"20-Mar-2026","HISARMETAL","Hisar Metal Ind. Limited","ASHOK C SAMANI","BUY","50,301","141.50","-"
"20-Mar-2026","INOXGREEN","Inox Green Energy Ser Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","40,22,865","157.76","-"
"20-Mar-2026","JAINIK","Jainik Power Cables Ltd","CLARITY ROADLINK PRIVATE LIMITED","BUY","87,600","119.96","-"
"20-Mar-2026","KCK","Kck Industries Limited","SHAH RUPAL  SANJAY","BUY","4,05,000","18.57","-"
"20-Mar-2026","MAL","Mangalam Alloys Limited","PUNEET JAYANTILAL SANGHVI","BUY","2,16,000","32.20","-"
"20-Mar-2026","MBAPL","Madhya Bharat Agro P. Ltd","SWASTIK CLOTHTEX PRIVATE LIMITED","BUY","5,91,000","448.62","-"
"20-Mar-2026","MOBILISE","Mobilise App Lab Limited","SANJANA JAIN","BUY","68,800","53.12","-"
"20-Mar-2026","NAMAN","Naman Industre Prxima Ltd","SURYAVANSHI COMMOTRADE PVT LTD","BUY","10,78,400","53.41","-"
"20-Mar-2026","OLECTRA","Olectra Greentech Limited","HRTI PRIVATE LIMITED","BUY","4,16,705","1,090.95","-"
"20-Mar-2026","ORIENTCER","ORIENT CERATECH LIMITED","ASHAPURA INTERNATIONAL LIMITED","BUY","13,00,000","38.94","-"
"20-Mar-2026","PAR","Par Drugs and Chem Ltd","INVESTERIA FINANCIAL SERVICES PRIVATE LIMITED","BUY","1,21,872","89.45","-"
"20-Mar-2026","PARAMATRIX","Paramatrix Technologies L","VINAYAK GOPALKRISHNA KUDVA","BUY","60,000","65.00","-"
"20-Mar-2026","RIIL","Reliance Indl Infra Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","91,121","720.36","-"
"20-Mar-2026","RIIL","Reliance Indl Infra Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","1,42,356","716.44","-"
"20-Mar-2026","ROSSELLIND","Rossell India Limited","IST LIMITED","BUY","3,06,150","46.90","-"
"20-Mar-2026","RSL","Rajputana Stainless Ltd","BRONZE SECURITIES PVT LTD","BUY","4,61,371","115.34","-"
"20-Mar-2026","SATIPOLY","Sati Poly Plast Limited","GIRDHARI LAL GARG","BUY","27,000","33.30","-"
"20-Mar-2026","TRIDHYA","Tridhya Tech Limited","AGRAWAL NIKUNJ","BUY","1,80,000","8.11","-"
"20-Mar-2026","UNITEDTEA","United Nilgiri Tea Ltd","MONET SECURITIES PRIVATE LTD","BUY","38,632","511.00","-"
"20-Mar-2026","WEBELSOLAR","Websol Energy System Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","21,56,382","70.21","-"
"20-Mar-2026","WEBELSOLAR","Websol Energy System Ltd","MATHISYS ADVISORS LLP","BUY","22,01,533","71.02","-"
"20-Mar-2026","WEBELSOLAR","Websol Energy System Ltd","HRTI PRIVATE LIMITED","BUY","22,86,657","69.78","-"
"20-Mar-2026","ACETEC","Acetech E-Commerce Ltd","RAVI SEEDS AND RESEARCH PRIVATE LIMITED","SELL","7,35,600","139.00","-"
"20-Mar-2026","ACETEC","Acetech E-Commerce Ltd","SPECIFIC COMMODITIES PRIVATE LIMITED","SELL","1,64,400","139.00","-"
"20-Mar-2026","ACETEC","Acetech E-Commerce Ltd","KOOKMIN SECURITIES PRIVATE LIMITED","SELL","84,000","139.00","-"
"20-Mar-2026","ACETEC","Acetech E-Commerce Ltd","AJAY GUPTA","SELL","1,17,600","139.00","-"
"20-Mar-2026","ACETEC","Acetech E-Commerce Ltd","ZENITH INFRA REALTY LLP","SELL","99,600","139.00","-"
"20-Mar-2026","ACETEC","Acetech E-Commerce Ltd","JAIN ARIHANT SURESH","SELL","1,16,400","139.00","-"
"20-Mar-2026","ACETEC","Acetech E-Commerce Ltd","ARIHANT CAPITAL MARKETS LIMITED","SELL","1,75,200","139.12","-"
"20-Mar-2026","AGIIL","Agi Infra Limited","ARIHANT CAPITAL MARKETS LIMITED","SELL","19,00,660","308.89","-"
"20-Mar-2026","ARUNAYA","Arunaya Organics Limited","R K STOCKHOLDING (P) LTD.","SELL","1,02,000","16.73","-"
"20-Mar-2026","ASHWINI","Ashwini Container Mover L","RATIRAJ TIBREWAL","SELL","23,000","144.01","-"
"20-Mar-2026","ATALREAL","Atal Realtech Limited","ALTIZEN VENTURES LLP","SELL","5,16,430","23.25","-"
"20-Mar-2026","ATALREAL","Atal Realtech Limited","VISHAL MAHESH WAGHELA","SELL","4,660","23.21","-"
"20-Mar-2026","BIRDYS","Grill Splendour Ser Ltd","SKS M&A CONSULTANCY LLP","SELL","33,600","109.10","-"
"20-Mar-2026","BLISSGVS","Bliss GVS Pharma Ltd","RATNABALI EQUITY PRIVATE LIMITED","SELL","7,17,102","212.11","-"
"20-Mar-2026","DEEPINDS","Deep Industries Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","5,18,383","417.79","-"
"20-Mar-2026","DEEPINDS","Deep Industries Limited","GRT STRATEGIC VENTURES LLP","SELL","4,36,329","420.18","-"
"20-Mar-2026","GUJALKALI","Gujarat Alkalies & Chem","IRAGE BROKING SERVICES LLP","SELL","7,95,549","501.17","-"
"20-Mar-2026","GUJALKALI","Gujarat Alkalies & Chem","MUSIGMA SECURITIES","SELL","4,27,201","499.86","-"
"20-Mar-2026","GUJALKALI","Gujarat Alkalies & Chem","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","SELL","4,62,333","500.25","-"
"20-Mar-2026","GUJALKALI","Gujarat Alkalies & Chem","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","SELL","4,27,376","497.21","-"
"20-Mar-2026","GUJALKALI","Gujarat Alkalies & Chem","GRT STRATEGIC VENTURES LLP","SELL","6,32,035","501.56","-"
"20-Mar-2026","GUJALKALI","Gujarat Alkalies & Chem","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","SELL","3,79,931","495.03","-"
"20-Mar-2026","GUJALKALI","Gujarat Alkalies & Chem","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","8,69,261","499.80","-"
