"DATE 
","SYMBOL 
","SECURITY NAME 
","CLIENT NAME 
","BUY/SELL 
","QUANTITY TRADED 
","TRADE PRICE/ WEIGHTED. AVG. PRICE 
","REMARKS 
"
"10-Apr-2026","AMIRCHAND","Amir Chand Jag Kum (E) L","MANSI SHARE AND STOCK BROKING PRIVATE LIMITED","SELL","8,76,356","125.47","-"
"10-Apr-2026","AMIRCHAND","Amir Chand Jag Kum (E) L","KAVYA INVESTMENTS","SELL","4,68,983","128.07","-"
"10-Apr-2026","AMIRCHAND","Amir Chand Jag Kum (E) L","IRAGE BROKING SERVICES LLP","SELL","3,58,507","125.29","-"
"10-Apr-2026","APEX","Apex Frozen Foods Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","1,65,867","441.61","-"
"10-Apr-2026","APEX","Apex Frozen Foods Limited","HRTI PRIVATE LIMITED","SELL","2,17,517","438.71","-"
"10-Apr-2026","ASHWINI","Ashwini Container Mover L","AZURA PROJECTS PRIVATE LIMITED","SELL","2,50,000","142.40","-"
"10-Apr-2026","ASTEC","Astec LifeSciences Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","1,84,770","644.47","-"
"10-Apr-2026","ASTEC","Astec LifeSciences Ltd","MANSI SHARE AND STOCK BROKING PRIVATE LIMITED","SELL","1,05,543","671.99","-"
"10-Apr-2026","AURIGROW","Auri Grow India Limited","NEO APEX SHARE BROKING SERVICES LLP","SELL","1,11,90,585","0.32","-"
"10-Apr-2026","AURIGROW","Auri Grow India Limited","ACHINTYA SECURITIES LIMITED","SELL","84,76,610","0.32","-"
"10-Apr-2026","AURIGROW","Auri Grow India Limited","SHARE INDIA SECURITIES LIMITED","SELL","1,12,00,017","0.31","-"
"10-Apr-2026","CREST","Crest Ventures Limited","CAPRI GLOBAL HOLDINGS PRIVATE LIMITED","SELL","1,50,000","345.00","-"
"10-Apr-2026","DIVYADHAN","Divyadhan Recycling Ind L","BONANZA PORTFOLIO LTD","SELL","3,00,000","26.85","-"
"10-Apr-2026","FILATFASH","Filatex Fashions Limited","ACHINTYA SECURITIES LIMITED","SELL","4,96,36,239","0.20","-"
"10-Apr-2026","INFOBEAN","InfoBeans Techno. Ltd.","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","5,33,303","181.25","-"
"10-Apr-2026","INVENTURE","Inventure Gro & Sec Ltd","RAHUL RAMAN MOHTA","SELL","55,00,000","0.94","-"
"10-Apr-2026","INVENTURE","Inventure Gro & Sec Ltd","MOHTA SARITA","SELL","1,31,00,000","0.91","-"
"10-Apr-2026","ITDC","India Tour. Dev. Co. Ltd.","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","SELL","8,51,424","599.13","-"
"10-Apr-2026","ITDC","India Tour. Dev. Co. Ltd.","CLT RESEARCH TECH PRIVATE LTD","SELL","5,68,885","602.64","-"
"10-Apr-2026","ITDC","India Tour. Dev. Co. Ltd.","GRT STRATEGIC VENTURES LLP","SELL","8,43,650","602.42","-"
"10-Apr-2026","ITDC","India Tour. Dev. Co. Ltd.","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","9,82,431","591.12","-"
"10-Apr-2026","ITDC","India Tour. Dev. Co. Ltd.","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","SELL","6,72,882","598.45","-"
"10-Apr-2026","ITDC","India Tour. Dev. Co. Ltd.","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","7,23,933","596.81","-"
"10-Apr-2026","ITDC","India Tour. Dev. Co. Ltd.","PATRONUS TRADETECH LLP","SELL","4,33,907","596.30","-"
"10-Apr-2026","ITDC","India Tour. Dev. Co. Ltd.","MICROCURVES TRADING PRIVATE LIMITED","SELL","13,24,906","596.84","-"
"10-Apr-2026","ITDC","India Tour. Dev. Co. Ltd.","IRAGE BROKING SERVICES LLP","SELL","9,15,247","596.00","-"
"10-Apr-2026","KCK","Kck Industries Limited","PROFIN CAPITAL SERVICES LIMITED","SELL","3,50,000","14.64","-"
"10-Apr-2026","MEDIORG","Medicamen Organics Ltd","SB OPPORTUNITIES FUND I","SELL","78,000","28.27","-"
"10-Apr-2026","MEGASTAR","Megastar Foods Limited","AKE SECURITIES PRIVATE LIMITED","SELL","57,053","282.28","-"
"10-Apr-2026","OLAELEC","Ola Electric Mobility Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","3,83,61,649","39.41","-"
"10-Apr-2026","OLAELEC","Ola Electric Mobility Ltd","QE SECURITIES LLP","SELL","2,40,31,846","38.93","-"
"10-Apr-2026","OLAELEC","Ola Electric Mobility Ltd","HRTI PRIVATE LIMITED","SELL","3,35,93,594","39.18","-"
"10-Apr-2026","OLAELEC","Ola Electric Mobility Ltd","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","SELL","6,92,16,912","39.06","-"
"10-Apr-2026","ONELIFECAP","Onelife Cap Advisors Ltd","SAHAJ TRADING AGENCY","SELL","2,80,000","15.00","-"
"10-Apr-2026","PVP","PVP Ventures Limited","CRONY VYAPAR PVT LTD","SELL","36,15,015","33.08","-"
"10-Apr-2026","RATNAVEER","Ratnaveer Precision Eng L","ARIHANT CAPITAL MARKETS LIMITED","SELL","13,37,146","146.99","-"
"10-Apr-2026","RATNAVEER","Ratnaveer Precision Eng L","NEOMILE GROWTH FUND-SERIES I","SELL","7,24,384","145.01","-"
"10-Apr-2026","RELIABLE","Reliable Data Service Ltd","ALTIZEN VENTURES LLP","SELL","70,151","118.06","-"
"10-Apr-2026","VIPULLTD","Vipul Limited","MONEYPLANT GOLD & JEWELLERY TRADING L.L.C","SELL","24,00,000","10.06","-"
