"DATE 
","SYMBOL 
","SECURITY NAME 
","CLIENT NAME 
","BUY/SELL 
","QUANTITY TRADED 
","TRADE PRICE/ WEIGHTED. AVG. PRICE 
","REMARKS 
"
"13-Apr-2026","AGIIL","Agi Infra Limited","ARIHANT CAPITAL MARKETS LIMITED","BUY","8,92,850","361.89","-"
"13-Apr-2026","ATALREAL","Atal Realtech Limited","ALTIZEN VENTURES LLP","BUY","6,31,997","24.95","-"
"13-Apr-2026","ATLASCYCLE","Atlas Cycles (Haryana) Lt","ANKITA VISHAL SHAH","BUY","36,512","120.04","-"
"13-Apr-2026","ATLASCYCLE","Atlas Cycles (Haryana) Lt","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","45,918","117.93","-"
"13-Apr-2026","ATULAUTO","Atul Auto Limited","IRAGE BROKING SERVICES LLP","BUY","2,19,455","499.27","-"
"13-Apr-2026","ATULAUTO","Atul Auto Limited","GRT STRATEGIC VENTURES LLP","BUY","1,69,633","501.76","-"
"13-Apr-2026","ATULAUTO","Atul Auto Limited","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","BUY","1,70,294","495.51","-"
"13-Apr-2026","ATULAUTO","Atul Auto Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","6,49,074","500.09","-"
"13-Apr-2026","ATULAUTO","Atul Auto Limited","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","BUY","2,52,790","504.19","-"
"13-Apr-2026","ATULAUTO","Atul Auto Limited","SHARE INDIA SECURITIES LIMITED","BUY","1,79,407","507.80","-"
"13-Apr-2026","ATULAUTO","Atul Auto Limited","MICROCURVES TRADING PRIVATE LIMITED","BUY","2,44,351","502.12","-"
"13-Apr-2026","ATULAUTO","Atul Auto Limited","PUMA SECURITIES","BUY","1,50,028","503.90","-"
"13-Apr-2026","ATULAUTO","Atul Auto Limited","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","2,21,633","502.70","-"
"13-Apr-2026","DIL","Debock Industries Limited","MURALI","BUY","10,85,260","0.99","-"
"13-Apr-2026","EIEL","Enviro Infra Engineers L","MUSIGMA SECURITIES","BUY","22,52,716","198.03","-"
"13-Apr-2026","EIEL","Enviro Infra Engineers L","CLT RESEARCH TECH PRIVATE LTD","BUY","10,72,297","197.54","-"
"13-Apr-2026","EIEL","Enviro Infra Engineers L","PUMA SECURITIES","BUY","20,91,379","197.44","-"
"13-Apr-2026","EIEL","Enviro Infra Engineers L","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","BUY","12,58,027","197.12","-"
"13-Apr-2026","EIEL","Enviro Infra Engineers L","SUBHASHCHANDRA LAXMICHAND GANDHI","BUY","14,37,888","196.60","-"
"13-Apr-2026","EIEL","Enviro Infra Engineers L","QICAP MARKETS LLP","BUY","8,91,547","196.77","-"
"13-Apr-2026","EIEL","Enviro Infra Engineers L","MICROCURVES TRADING PRIVATE LIMITED","BUY","31,19,707","197.61","-"
"13-Apr-2026","EIEL","Enviro Infra Engineers L","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","19,96,298","197.01","-"
"13-Apr-2026","EIEL","Enviro Infra Engineers L","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","BUY","16,39,260","196.82","-"
"13-Apr-2026","EIEL","Enviro Infra Engineers L","HRTI PRIVATE LIMITED","BUY","23,21,872","197.01","-"
"13-Apr-2026","EIEL","Enviro Infra Engineers L","QE SECURITIES LLP","BUY","12,59,036","197.06","-"
"13-Apr-2026","EIEL","Enviro Infra Engineers L","IRAGE BROKING SERVICES LLP","BUY","12,75,559","197.12","-"
"13-Apr-2026","EIEL","Enviro Infra Engineers L","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","22,34,253","196.33","-"
"13-Apr-2026","ITDC","India Tour. Dev. Co. Ltd.","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","5,23,340","641.66","-"
"13-Apr-2026","ITDC","India Tour. Dev. Co. Ltd.","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","6,48,722","636.53","-"
"13-Apr-2026","NIRMAN","Nirman Agri Gentics Ltd","RAJKUMAR SHYAMNARAYAN SINGH","BUY","45,000","53.05","-"
"13-Apr-2026","OLAELEC","Ola Electric Mobility Ltd","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","BUY","2,37,22,562","38.42","-"
"13-Apr-2026","PRAMARA","Pramara Promotions Ltd","CP CAPITAL LIMITED","BUY","1,00,000","338.90","-"
"13-Apr-2026","PRAMARA","Pramara Promotions Ltd","SHAH RAJESH KANJI","BUY","75,000","340.66","-"
"13-Apr-2026","PRAMARA","Pramara Promotions Ltd","NIRAJ RAJNIKANT SHAH","BUY","90,000","339.56","-"
"13-Apr-2026","PVP","PVP Ventures Limited","CRONY VYAPAR PVT LTD","BUY","37,89,498","34.32","-"
"13-Apr-2026","RATNAVEER","Ratnaveer Precision Eng L","ARIHANT CAPITAL MARKETS LIMITED","BUY","4,42,847","155.65","-"
"13-Apr-2026","RNBDENIMS","R&B Denims Limited","NEO APEX SHARE BROKING SERVICES LLP","BUY","25,00,000","15.74","-"
"13-Apr-2026","SAIFL","Sameera Agro And Infra L","VISTAAR TRADING SERVICE PRIVATE LIMITED","BUY","1,48,000","11.78","-"
"13-Apr-2026","SPEB","Speb Adhesives Limited","MUNJAL SHARAD SHAH","BUY","1,74,000","56.50","-"
"13-Apr-2026","TICL","Twamev Cons and Infra Ltd","GAURAV SINGH","BUY","9,93,131","23.53","-"
"13-Apr-2026","AGIIL","Agi Infra Limited","ARIHANT CAPITAL MARKETS LIMITED","SELL","8,53,419","362.45","-"
"13-Apr-2026","ATLASCYCLE","Atlas Cycles (Haryana) Lt","ANKITA VISHAL SHAH","SELL","36,512","121.44","-"
"13-Apr-2026","ATLASCYCLE","Atlas Cycles (Haryana) Lt","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","45,918","118.26","-"
"13-Apr-2026","ATULAUTO","Atul Auto Limited","GRT STRATEGIC VENTURES LLP","SELL","1,69,633","502.00","-"
"13-Apr-2026","ATULAUTO","Atul Auto Limited","IRAGE BROKING SERVICES LLP","SELL","2,28,084","499.76","-"
"13-Apr-2026","ATULAUTO","Atul Auto Limited","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","2,22,148","503.15","-"
"13-Apr-2026","ATULAUTO","Atul Auto Limited","MICROCURVES TRADING PRIVATE LIMITED","SELL","2,44,351","502.20","-"
"13-Apr-2026","ATULAUTO","Atul Auto Limited","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","SELL","2,52,790","505.41","-"
"13-Apr-2026","ATULAUTO","Atul Auto Limited","SHARE INDIA SECURITIES LIMITED","SELL","1,79,407","501.34","-"
"13-Apr-2026","ATULAUTO","Atul Auto Limited","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","SELL","1,70,294","496.66","-"
"13-Apr-2026","ATULAUTO","Atul Auto Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","6,49,074","500.37","-"
"13-Apr-2026","ATULAUTO","Atul Auto Limited","PUMA SECURITIES","SELL","1,50,028","504.15","-"
"13-Apr-2026","EIEL","Enviro Infra Engineers L","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","22,34,253","196.41","-"
"13-Apr-2026","EIEL","Enviro Infra Engineers L","MUSIGMA SECURITIES","SELL","22,52,716","198.08","-"
