"DATE 
","SYMBOL 
","SECURITY NAME 
","CLIENT NAME 
","BUY/SELL 
","QUANTITY TRADED 
","TRADE PRICE/ WEIGHTED. AVG. PRICE 
","REMARKS 
"
"24-Apr-2026","ADFFOODS","ADF Foods Limited","SBI FUNDS MANAGEMENT LIMITED","BUY","13,00,000","259.98","-"
"24-Apr-2026","AGIIL","Agi Infra Limited","ARIHANT CAPITAL MARKETS LIMITED","BUY","6,13,004","370.10","-"
"24-Apr-2026","AMBEY","Ambey Laboratories Ltd","LAXMI VYANKATESH ENTERPRISES","BUY","68,000","37.35","-"
"24-Apr-2026","AQYLON","Aqylon Nexus Limited","SW CAPITAL PRIVATE LIMITED","BUY","24,13,894","49.36","-"
"24-Apr-2026","AQYLON","Aqylon Nexus Limited","LEADING LEASING FINANCE & INVESTMENT COMPANY LTD","BUY","1,15,00,000","51.07","-"
"24-Apr-2026","ATULAUTO","Atul Auto Limited","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","BUY","1,48,812","508.96","-"
"24-Apr-2026","ATULAUTO","Atul Auto Limited","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","2,44,415","505.38","-"
"24-Apr-2026","ATULAUTO","Atul Auto Limited","MICROCURVES TRADING PRIVATE LIMITED","BUY","3,03,277","507.43","-"
"24-Apr-2026","ATULAUTO","Atul Auto Limited","HRTI PRIVATE LIMITED","BUY","4,86,468","503.32","-"
"24-Apr-2026","ATULAUTO","Atul Auto Limited","QE SECURITIES LLP","BUY","2,26,708","501.64","-"
"24-Apr-2026","ATULAUTO","Atul Auto Limited","IRAGE BROKING SERVICES LLP","BUY","2,33,427","508.59","-"
"24-Apr-2026","ATULAUTO","Atul Auto Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","2,79,030","507.88","-"
"24-Apr-2026","DELTACORP","Delta Corp Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","14,05,261","80.44","-"
"24-Apr-2026","DOLLAR","Dollar Industries Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","3,64,236","337.94","-"
"24-Apr-2026","GSMFOILS","GSM Foils Limited","SIDDHARTH ABHAIKUMAR NAHAR","BUY","1,00,000","190.10","-"
"24-Apr-2026","GUJTHEM","Gujarat Themis Biosyn Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","5,90,941","367.22","-"
"24-Apr-2026","HSCL","Himadri Speciality Chem L","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","38,77,558","581.91","-"
"24-Apr-2026","HSCL","Himadri Speciality Chem L","VT CAPITAL MARKET PVT LTD","BUY","36,41,410","578.67","-"
"24-Apr-2026","IRMENERGY","IRM Energy Limited","PATRONUS TRADETECH LLP","BUY","2,57,270","288.77","-"
"24-Apr-2026","IRMENERGY","IRM Energy Limited","MARWADI SHARES AND FINANCE LTD.","BUY","3,32,372","276.04","-"
"24-Apr-2026","IRMENERGY","IRM Energy Limited","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","BUY","6,40,727","281.39","-"
"24-Apr-2026","IRMENERGY","IRM Energy Limited","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","BUY","4,88,593","287.74","-"
"24-Apr-2026","IRMENERGY","IRM Energy Limited","PUMA SECURITIES","BUY","4,49,531","286.31","-"
"24-Apr-2026","IRMENERGY","IRM Energy Limited","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","BUY","3,90,907","289.48","-"
"24-Apr-2026","IRMENERGY","IRM Energy Limited","CLT RESEARCH TECH PRIVATE LTD","BUY","3,45,934","280.96","-"
"24-Apr-2026","IRMENERGY","IRM Energy Limited","MUSIGMA SECURITIES","BUY","4,39,158","284.80","-"
"24-Apr-2026","IRMENERGY","IRM Energy Limited","PACE COMMODITY BROKERS PRIVATE LIMITED","BUY","3,00,331","288.39","-"
"24-Apr-2026","IRMENERGY","IRM Energy Limited","MAYUR MUKESHBHAI DOBARIYA","BUY","2,83,445","283.13","-"
"24-Apr-2026","IRMENERGY","IRM Energy Limited","SAUMYA JHA","BUY","2,19,000","280.63","-"
"24-Apr-2026","IRMENERGY","IRM Energy Limited","VINUKEERTHANA","BUY","2,31,029","278.35","-"
"24-Apr-2026","IRMENERGY","IRM Energy Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","26,12,306","289.55","-"
"24-Apr-2026","IRMENERGY","IRM Energy Limited","ALPHAGREP SECURITIES PRIVATE LIMITED","BUY","2,21,290","283.16","-"
"24-Apr-2026","IRMENERGY","IRM Energy Limited","GRT STRATEGIC VENTURES LLP","BUY","3,65,271","282.61","-"
"24-Apr-2026","IRMENERGY","IRM Energy Limited","IRAGE BROKING SERVICES LLP","BUY","9,00,161","288.60","-"
"24-Apr-2026","IRMENERGY","IRM Energy Limited","QE SECURITIES LLP","BUY","15,89,668","282.72","-"
"24-Apr-2026","IRMENERGY","IRM Energy Limited","HRTI PRIVATE LIMITED","BUY","11,47,153","283.22","-"
"24-Apr-2026","IRMENERGY","IRM Energy Limited","ANIL SINGLA","BUY","2,37,800","288.69","-"
"24-Apr-2026","IRMENERGY","IRM Energy Limited","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","BUY","2,79,344","276.95","-"
"24-Apr-2026","IRMENERGY","IRM Energy Limited","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","9,48,078","282.82","-"
"24-Apr-2026","IRMENERGY","IRM Energy Limited","MICROCURVES TRADING PRIVATE LIMITED","BUY","17,34,497","283.28","-"
"24-Apr-2026","IRMENERGY","IRM Energy Limited","BLITZQUANT RESEARCH LLP","BUY","6,73,715","291.28","-"
"24-Apr-2026","KRYSTAL","Krystal Integrated Ser L","L7 HITECH PRIVATE LIMITED","BUY","82,500","605.41","-"
"24-Apr-2026","KRYSTAL","Krystal Integrated Ser L","NARESH KOTTAKOTA","BUY","91,546","620.38","-"
"24-Apr-2026","KRYSTAL","Krystal Integrated Ser L","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","2,03,988","616.34","-"
"24-Apr-2026","KRYSTAL","Krystal Integrated Ser L","BLITZQUANT RESEARCH LLP","BUY","81,940","618.08","-"
"24-Apr-2026","KRYSTAL","Krystal Integrated Ser L","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","BUY","1,61,890","621.33","-"
"24-Apr-2026","MARKOLINES","Markolines Pavement Tec L","VISTAAR TRADING SERVICE PRIVATE LIMITED","BUY","1,08,635","151.09","-"
"24-Apr-2026","ORIENTELEC","Orient Electric Limited","NIPPON INDIA MUTUAL FUND","BUY","12,85,576","185.96","-"
"24-Apr-2026","PVP","PVP Ventures Limited","CRONY VYAPAR PVT LTD","BUY","15,67,904","32.55","-"
"24-Apr-2026","SBCL","Shivalik Bimetal Con. Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","3,52,842","581.15","-"
"24-Apr-2026","SEITINVIT","Sustainable Energy Infra","NEO REAL ASSET YIELD FUND","BUY","25,00,000","119.00","-"
"24-Apr-2026","SHAILY","Shaily Eng Plastics Ltd","BOFA SECURITIES EUROPE SA","BUY","2,36,911","2,419.42","-"
"24-Apr-2026","SHREEPUSHK","Shre Push Chem & Fert Ltd","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","BUY","2,32,839","400.12","-"
"24-Apr-2026","SHREEPUSHK","Shre Push Chem & Fert Ltd","BLITZQUANT RESEARCH LLP","BUY","1,65,631","400.42","-"
"24-Apr-2026","SHREEPUSHK","Shre Push Chem & Fert Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","2,00,467","398.20","-"
"24-Apr-2026","SHREEPUSHK","Shre Push Chem & Fert Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","4,66,888","399.74","-"
"24-Apr-2026","SHYAMTEL","Shyam Telecom Limited","PATRONUS TRADETECH LLP","BUY","57,303","17.71","-"
"24-Apr-2026","SHYAMTEL","Shyam Telecom Limited","NEO APEX SHARE BROKING SERVICES LLP","BUY","85,000","18.60","-"
"24-Apr-2026","SHYAMTEL","Shyam Telecom Limited","GREEN PEAKS ENTERPRISES LLP","BUY","11,036","18.63","-"
"24-Apr-2026","SHYAMTEL","Shyam Telecom Limited","MANSI SHARE AND STOCK BROKING PRIVATE LIMITED","BUY","1,25,000","18.63","-"
"24-Apr-2026","SINTERCOM","Sintercom India Limited","RAJNISH RAVISH PURI","BUY","1,46,000","74.05","-"
"24-Apr-2026","TICL","Twamev Cons and Infra Ltd","GAURAV SINGH","BUY","8,31,728","22.74","-"
"24-Apr-2026","UGROCAP","Ugro Capital Limited","POSHIKA FINANCIAL ECOSYSTEM PRIVATE LIMITED","BUY","8,89,374","107.65","-"
"24-Apr-2026","VIDYAWIRES","Vidya Wires Limited","MICROCURVES TRADING PRIVATE LIMITED","BUY","20,40,856","84.48","-"
"24-Apr-2026","VIDYAWIRES","Vidya Wires Limited","HRTI PRIVATE LIMITED","BUY","25,46,737","84.03","-"
"24-Apr-2026","VIDYAWIRES","Vidya Wires Limited","QE SECURITIES LLP","BUY","20,71,304","84.10","-"
"24-Apr-2026","VIDYAWIRES","Vidya Wires Limited","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","31,70,912","84.19","-"
"24-Apr-2026","VIDYAWIRES","Vidya Wires Limited","MUSIGMA SECURITIES","BUY","10,68,522","84.31","-"
"24-Apr-2026","VIDYAWIRES","Vidya Wires Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","22,85,382","84.06","-"
"24-Apr-2026","WABAG","VA Tech Wabag Ltd","ISHARES GLOBAL WATER UCITS ETF","BUY","4,92,582","1,491.53","-"
"24-Apr-2026","AGIIL","Agi Infra Limited","ARIHANT CAPITAL MARKETS LIMITED","SELL","6,31,382","366.97","-"
"24-Apr-2026","AHCL","Anlon Healthcare Limited","NEOMILE GROWTH FUND-SERIES I","SELL","20,99,779","16.31","-"
"24-Apr-2026","AMBEY","Ambey Laboratories Ltd","LAXMI VYANKATESH ENTERPRISES","SELL","1,62,000","35.18","-"
"24-Apr-2026","AQYLON","Aqylon Nexus Limited","SW CAPITAL PRIVATE LIMITED","SELL","22,63,539","48.45","-"
"24-Apr-2026","AQYLON","Aqylon Nexus Limited","KURJIBHAI PREMJIBHAI RUPARELIYA","SELL","1,11,86,984","51.08","-"
